title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,id,cluster
Work That Body,Diana Ross,0.863,0.529,7,-14.39,0,0.0612,0.237,1.44e-05,0.654,0.832,110.61,299093,4,5wJNzHCbuqHq2aezVp4SdB,5wJNzHCbuqHq2aezVp4SdB,7
Maria Magdalena - Remastered,Sandra,0.629,0.726,11,-8.161,0,0.0251,0.0578,0.0115,0.355,0.892,104.114,240440,4,5Njrdd3SA4fOsDMPVphxSb,5Njrdd3SA4fOsDMPVphxSb,5
In The Heat Of The Night,Sandra,0.636,0.913,0,-8.838,1,0.0311,0.00257,0.106,0.194,0.698,123.28,301933,4,0MSAWjq5aWfTUNL9hv7Epd,0MSAWjq5aWfTUNL9hv7Epd,3
Everlasting Love,Sandra,0.648,0.806,10,-11.078,1,0.032,0.154,0.029,0.163,0.473,120.024,227160,4,1mscYl0vNlVknI51wOWDG7,1mscYl0vNlVknI51wOWDG7,3
I Don't Want to Live Without You,Foreigner,0.431,0.522,11,-8.625,1,0.0295,0.436,1.91e-05,0.109,0.233,199.786,237693,4,19aYH2zhbnTNx4plfenrIk,19aYH2zhbnTNx4plfenrIk,0
Say You Will,Foreigner,0.72,0.72,3,-7.383,0,0.0264,0.195,0.0,0.0448,0.636,126.041,255653,4,5nW7RbN0mBLPts9CURNwdy,5nW7RbN0mBLPts9CURNwdy,5
Love on the Telephone,Foreigner,0.587,0.825,4,-7.985,0,0.0363,0.0224,1.75e-06,0.048,0.6,134.132,197600,4,4yFsm2hVmZngZMbxAy9iHa,4yFsm2hVmZngZMbxAy9iHa,5
Good Times Bad Times - 1993 Remaster,Led Zeppelin,0.476,0.717,9,-9.192,1,0.0949,0.0382,7.61e-05,0.0818,0.753,93.584,166267,4,0QwZfbw26QeUoIy82Z2jYp,0QwZfbw26QeUoIy82Z2jYp,3
Dazed and Confused - 1990 Remaster,Led Zeppelin,0.271,0.553,2,-9.526,1,0.0472,0.044,0.0096,0.0999,0.433,86.762,386373,3,6hu1f1cXSw7OAqhpSQ2zDy,6hu1f1cXSw7OAqhpSQ2zDy,2
Rock and Roll - Remaster,Led Zeppelin,0.317,0.887,9,-7.292,1,0.0375,0.000582,0.00258,0.0891,0.871,169.613,220561,4,4PRGxHpCpF2yoOHYKQIEwD,4PRGxHpCpF2yoOHYKQIEwD,0
Thank God I Found You,Mariah Carey,0.35,0.542,10,-5.897,1,0.0348,0.587,0.0,0.107,0.129,129.967,257360,4,499dEelfiaEoQ2Ox2eSM3T,499dEelfiaEoQ2Ox2eSM3T,6
True To Your Heart,98º,0.655,0.973,10,-4.974,0,0.162,0.124,0.0,0.181,0.575,106.096,255040,4,2ONEg4z2IFn0HPOtuMmmou,2ONEg4z2IFn0HPOtuMmmou,5
Overcome,Live,0.375,0.403,9,-7.226,1,0.0279,0.779,0.42,0.099,0.193,146.282,256066,4,1789Nv2WZXHDuhwdZ0jqHZ,1789Nv2WZXHDuhwdZ0jqHZ,6
I Alone,Live,0.396,0.817,6,-7.282,1,0.045,0.00228,0.00417,0.372,0.0992,90.264,231133,4,3LpnzPxkMI6XS4JCbhNeek,3LpnzPxkMI6XS4JCbhNeek,0
Selling The Drama,Live,0.45,0.914,6,-6.741,1,0.0647,0.0106,8.18e-05,0.101,0.336,124.42,208293,4,5hE3T2329sdMmIrHxjhQDL,5hE3T2329sdMmIrHxjhQDL,0
The Dolphin's Cry,Live,0.342,0.792,5,-6.001,0,0.0391,0.000442,8.57e-06,0.142,0.431,149.744,264160,4,6FPnecQDKOWSAKDKBAZ7ZG,6FPnecQDKOWSAKDKBAZ7ZG,0
Redemption Song,Bob Marley & The Wailers,0.666,0.259,0,-10.721,1,0.04,0.585,0.0,0.079,0.698,116.082,227840,4,7MKcM6TfaGKQVFfhstCbOw,7MKcM6TfaGKQVFfhstCbOw,6
Jamming,Bob Marley & The Wailers,0.941,0.462,11,-11.029,0,0.282,0.129,9.82e-05,0.114,0.758,123.674,211427,4,4aUCPal9bxTnQkEfdIY6sG,4aUCPal9bxTnQkEfdIY6sG,1
Exodus,Bob Marley & The Wailers,0.865,0.746,7,-8.58,1,0.0486,0.0329,0.00396,0.141,0.961,132.846,459667,4,5MRQvbpvXejJJy0OWciP8G,5MRQvbpvXejJJy0OWciP8G,3
Waiting In Vain,Bob Marley & The Wailers,0.838,0.453,8,-11.536,1,0.31,0.025,2.42e-05,0.116,0.815,78.837,256493,4,1waOqfmEVkVC8WhaIP6uGI,1waOqfmEVkVC8WhaIP6uGI,1
